country,location,property_type,apartment_living_area,apartment_rooms,apartment_bedrooms,bedroom_ratio,apartment_bathrooms,building_total_floors,apartment_floor,building_construction_year,price_in_USD
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,31.818181818181817,2,1,0.6666666666666666,1,8.0,2.0,2023.0,235082.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,70.0,3,2,0.6666666666666666,1,1.0,1.0,2023.0,206376.0
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",apartment,47.72727272727273,2,2,1.0,0,4.0,2.0,2020.0,187495.0
Montenegro,Montenegro,apartment,38.18181818181818,2,2,1.0,0,4.0,2.0,2020.0,183821.0
Montenegro,"Prcanj, Kotor Municipality, Montenegro",apartment,171.8181818181818,4,0,1.0,4,3.0,3.0,2020.0,298905.0
Montenegro,"Budva Municipality, Montenegro",apartment,49.63636363636363,3,2,0.6666666666666666,1,3.0,7.0,2020.0,327546.0
Montenegro,"Podgorica, Podgorica Capital City, Montenegro",apartment,70.63636363636364,4,2,1.0,2,3.0,5.0,2020.0,270727.0
others,"Tashkent, Olmazor district, Uzbekistan",apartment,51.54545454545455,3,1,0.6666666666666666,2,15.0,12.0,2022.0,85603.0
Montenegro,Montenegro,apartment,47.09090909090909,1,1,1.0,0,3.0,3.0,2020.0,265428.0
others,"Mirzo Ulugbek district, Shaykhontohur Tumani, Uzbekistan",apartment,58.54545454545455,3,2,0.6666666666666666,1,16.0,10.0,2023.0,117369.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,41.36363636363636,2,1,0.6666666666666666,1,5.0,1.0,2017.0,271732.0
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",others,82.72727272727272,1,0,0.8,2,4.0,1.0,2015.0,288793.0
Turkey,"Yaylali, Mediterranean Region, Alanya, Turkey",apartment,44.54545454545455,3,2,0.6666666666666666,1,5.0,3.0,2023.0,234233.0
Turkey,"Mediterranean Region, Alanya, Turkey",apartment,82.72727272727272,3,2,0.6666666666666666,1,5.0,3.0,2023.0,245263.0
Turkey,"Yaylali, Mediterranean Region, Alanya, Turkey",apartment,95.45454545454545,3,2,0.6666666666666666,1,5.0,2.0,2023.0,303253.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,70.0,3,1,0.6666666666666666,2,9.0,7.0,2023.0,209234.0
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",apartment,59.81818181818182,3,2,0.6666666666666666,1,4.0,2.0,2020.0,179343.0
Montenegro,Montenegro,apartment,33.09090909090909,1,1,1.0,0,4.0,2.0,2020.0,180430.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,82.72727272727272,3,2,0.6666666666666666,1,3.0,3.0,2023.0,209551.0
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",apartment,31.818181818181817,1,1,1.0,0,3.0,3.0,2020.0,266297.0
Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",apartment,36.27272727272727,2,1,1.0,1,4.0,2.0,2020.0,172550.0
Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",apartment,28.636363636363637,2,2,1.0,0,3.0,3.0,2020.0,352165.0
Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",apartment,59.81818181818182,2,1,1.0,1,7.0,2.0,2018.0,332057.0
Montenegro,"Dobrota, Kotor Municipality, Montenegro",apartment,75.0909090909091,3,0,1.0,3,3.0,3.0,2020.0,271732.0
